Yield,CapUt M,CorpP M,PERatio M,CAPE M,aCDebt M,aTobinQ M,ISM_PMI,Manu M,Momen5,Moving Average,spy_Price,Daily_Return,Result
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.613333333,1,-0.137292434,-0.162531828,19.77,0.012139605,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.613333333,1,-0.254970483,-0.20912957,19.610001,0.012748597,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.613333333,1,-0.40231071,-0.233754582,19.530001,0.014848898,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,-0.357873229,-0.230675279,19.559999,0.00817996,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.08688654,-0.19376605,19.73,0.006589002,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.057574667,-0.169499155,19.85,0.004030227,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,-0.184474607,-0.294175629,19.360001,0.026859399,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.021909145,-0.249701924,19.559999,0.030674899,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.166030454,-0.199852762,19.790001,0.026781151,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.150452063,-0.171195637,19.940001,0.012036058,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.1142286,-0.163468759,20.01,-0.022488806,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.359660462,-0.207124901,19.860001,-0.024672708,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.187401615,-0.223145384,19.82,-0.015640767,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,-0.050711391,-0.251700391,19.719999,-0.003042546,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,-0.057545674,-0.22580197,19.860001,-0.04330317,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,-0.05734356,-0.216518158,19.93,-0.031108931,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.014370509,-0.233510627,19.879999,-0.021629679,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.240929705,-0.178413242,20.16,-0.037698413,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.421822975,-0.150551467,20.32,-0.045275591,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,0.226531927,-0.186942883,20.18,-0.022794896,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,-0.270231536,-0.325376489,19.559999,0.006135021,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,0.873333333,1,-0.376132439,-0.368300757,19.370001,0.015487815,0
